prediction_id,image_id,vlm_name,compression_type,compression_level,category,cer,wer,bleu,gt_length,pred_length,length_ratio,condition
438,36,qwen2-vl,jpeg,70.000000,medium_documents,0.021521,0.021858,0.986319,3392,3381,0.996800,jpeg_QF70.0
439,4,qwen2-vl,jpeg,70.000000,medium_documents,0.202863,0.208920,0.768580,2864,2283,0.797100,jpeg_QF70.0
440,8,qwen2-vl,jpeg,70.000000,long_documents,0.015072,0.035714,0.926544,4976,5035,1.011900,jpeg_QF70.0
462,93,qwen2-vl,jpeg,70.000000,short_documents,0.000000,0.000000,1.000000,1205,1205,1.000000,jpeg_QF70.0
441,48,qwen2-vl,jpeg,70.000000,medium_documents,0.011706,0.018809,0.975064,2221,2247,1.011700,jpeg_QF70.0
442,69,qwen2-vl,jpeg,70.000000,excluded_short_gt,0.000000,0.000000,1.000000,17,17,1.000000,jpeg_QF70.0
443,52,qwen2-vl,jpeg,70.000000,long_documents,0.000583,0.001266,0.998854,5148,5145,0.999400,jpeg_QF70.0
444,68,qwen2-vl,jpeg,70.000000,excluded_short_gt,0.047244,0.103774,0.779890,635,652,1.026800,jpeg_QF70.0
445,42,qwen2-vl,jpeg,70.000000,excluded_short_gt,3.197802,5.200000,0.212435,91,382,4.197800,jpeg_QF70.0
446,26,qwen2-vl,jpeg,70.000000,short_documents,0.001626,0.012500,0.971984,1230,1230,1.000000,jpeg_QF70.0
447,105,qwen2-vl,jpeg,70.000000,medium_documents,0.000000,0.000000,1.000000,1515,1515,1.000000,jpeg_QF70.0
448,50,qwen2-vl,jpeg,70.000000,long_documents,0.003454,0.003750,0.993248,5501,5520,1.003500,jpeg_QF70.0
449,70,qwen2-vl,jpeg,70.000000,medium_documents,0.002825,0.018750,0.954728,2124,2124,1.000000,jpeg_QF70.0
450,32,qwen2-vl,jpeg,70.000000,medium_documents,0.330439,0.351852,0.538012,1958,1343,0.685900,jpeg_QF70.0
451,22,qwen2-vl,jpeg,70.000000,short_documents,0.216374,0.250000,0.713141,1026,983,0.958100,jpeg_QF70.0
452,21,qwen2-vl,jpeg,70.000000,medium_documents,0.001078,0.007018,0.984638,1855,1855,1.000000,jpeg_QF70.0
453,111,qwen2-vl,jpeg,70.000000,medium_documents,0.000000,0.000000,1.000000,3181,3181,1.000000,jpeg_QF70.0
454,6,qwen2-vl,jpeg,70.000000,short_documents,0.027436,0.050987,0.962222,3572,3492,0.977600,jpeg_QF70.0
455,43,qwen2-vl,jpeg,70.000000,long_documents,0.033967,0.107143,0.911097,5152,5054,0.981000,jpeg_QF70.0
456,18,qwen2-vl,jpeg,70.000000,short_documents,0.011006,0.041935,0.968175,2544,2524,0.992100,jpeg_QF70.0
457,27,qwen2-vl,jpeg,70.000000,medium_documents,0.044048,0.088889,0.834089,1680,1661,0.988700,jpeg_QF70.0
458,47,qwen2-vl,jpeg,70.000000,medium_documents,0.002567,0.007282,0.990025,2727,2728,1.000400,jpeg_QF70.0
459,66,qwen2-vl,jpeg,70.000000,long_documents,0.011070,0.008547,0.992661,5149,5174,1.004900,jpeg_QF70.0
460,30,qwen2-vl,jpeg,70.000000,excluded_short_gt,0.000000,0.000000,1.000000,380,380,1.000000,jpeg_QF70.0
461,44,qwen2-vl,jpeg,70.000000,medium_documents,0.212477,0.217822,0.745189,2725,2146,0.787500,jpeg_QF70.0
463,51,qwen2-vl,jpeg,70.000000,short_documents,0.000000,0.000000,1.000000,667,667,1.000000,jpeg_QF70.0
